DATE	COMP	HE01	HE02	HE03	HE04	HE05	HE06	HE07	HE08	HE09	HE10	HE11	HE12	HE13	HE14	HE15	HE16	HE17	HE18	HE19	HE20	HE21	HE22	HE23	HE24
2/28/2015	RTO	105369.472	104029.293	103695.164	104083.8	105411.801	108302.263	112176.597	114498.399	114962.852	113688.181	110849.942	107153.093	103463.627	99803.17	97302.285	95924.562	96923.518	100770.453	107472.944	109836.607	109553.859	107930.812	104835.722	101027.869
3/1/2015	RTO	98092.771	96299.005	95423.442	94704.793	94765.693	95609.394	97358.619	99031.378	101619.618	103803.219	104777.609	104824.941	104832.655	103980.014	103244.531	102798.447	103875.253	106721.879	110319.512	111111.74	108883.97	104866.965	99921.848	95310.464
3/2/2015	RTO	91845.462	90213.494	89883.106	90318.651	92327.38	97672.363	105816.165	110084.586	110808.741	108462.423	106374.662	104018.894	101840.505	99943.084	98250.88	97186.858	98252.968	101857.211	109137.773	112134.385	111207.234	108148.468	103226.729	98063.925
3/3/2015	RTO	94754.609	93227.832	92644.192	93092.861	95237.933	100686.626	109473.815	112857.619	112356.444	111400.582	110654.71	109824.076	109237.767	108902.399	108428.751	108220.642	109230.444	111449.293	114461.393	113812.635	111156.161	106101.903	99429.84	93328.159
3/4/2015	RTO	88842.586	86198.44	84950.152	84790.999	86512.879	91600.546	99753.121	103541.161	103941.793	103352.952	102971.217	101817.031	100271.483	99665.115	99281.441	99084.49	100250.613	102909.782	106631.604	107653.609	105951.566	102371.711	97198.005	92108.582
3/5/2015	RTO	88384.897	86681.253	85999.279	86425.08	88897.936	94102.618	101500.511	106365.013	109376.035	111691.788	113166.497	113564.505	113229.916	112955.382	112521.467	111973.87	112893.81	115535.712	119897.469	121478.125	120133.487	116847.046	112370.747	108243.009
3/6/2015	RTO	105744.458	105070.047	105463.151	106684.813	109643.534	115150.249	122392.196	125701.661	124311.732	121147.679	118321.435	115484.154	112677.276	109873.785	107316.383	105501.921	105508.905	108446.378	114304.882	117361.063	116786.996	114844.047	111089.942	107153.019
3/7/2015	RTO	104010.628	102678.284	102364.96	102619.092	103647.851	105909.69	108801.639	110092.997	108809.099	106180.496	103155.18	99344.346	95909.475	92706.504	90142.879	88512.114	88560.652	90480.93	95646.94	98215.098	97447.531	95253.394	91795.24	87304.719
3/8/2015	RTO	84250.471	82371.531		81684.449	81726.881	82748.059	85012.421	87778.997	89469.579	89467.247	87808.904	86223.767	84534.109	82934.274	81101.123	79768.991	79553.978	80684.45	82924.802	88449.852	92424.13	91444.671	88144.917	84020.811
3/9/2015	RTO	80483.225	78489.099	77965.45	78248.973	80582.501	86225.701	95759.189	102274.71	102298.274	100011.989	97306.575	94201.51	91676.906	89657.816	87865.349	86203.925	85703.55	86173.88	87510.525	92423.338	95148.709	92714.384	88059.297	82693.098
3/10/2015	RTO	78625.03	76840.724	76246.763	76549.761	78581.674	83879.589	93217.005	99513.419	99167.706	97992.685	97012.892	95835.875	94363.596	93438.039	92561.352	92017.466	92427.777	93412.653	94690.541	97248.666	97655.63	94087.142	88134.195	82031.827
3/11/2015	RTO	77488.949	74481.63	73225.969	72916.383	74252.53	79067.848	87957.49	94234.161	94267.277	93403.737	92739.24	91423.224	89833.002	88604.825	87131.72	85946.09	85615.643	85869.131	86519.955	90239.243	93118.781	90635.893	85760.769	80278.135
3/12/2015	RTO	76473.023	74607.567	73994.188	74565.484	76630.84	82470.186	92532.522	99025.694	98245.312	95940.438	93967.707	92054.392	90094.866	88902.526	87019.916	85668.16	85155.242	85388.726	86787.792	91412.206	94990.958	93121.767	88541.572	83260.312
3/13/2015	RTO	79595.295	77705.706	77051.481	77250.935	79408.183	84919.373	94682.712	100811.184	99619.914	97340.413	95445.308	93299.276	91522.893	90344.023	89030.93	88220.519	88443.989	89286.918	90080.899	92462.867	92982.295	90466.205	86380.637	81281.303
3/14/2015	RTO	77043.032	74378.066	72939.02	72194.795	72472.889	73994.034	77082.181	80902.295	84072.487	86982.029	88258.894	88045.315	86497.539	84414.97	82571.715	81293.401	80768.112	80952.184	81033.952	83216.13	84689.69	82868.78	79725.824	75716.858
3/15/2015	RTO	71982.291	69878.527	68741.936	68481.225	69167.64	70909.774	73824.625	77316.61	80332.345	82695.877	83186.746	82677.233	82272.736	80946.508	79402.389	78495.686	78772.495	79642.87	81022.411	85997.975	89548.899	87230.623	83067.658	78581.857
3/16/2015	RTO	75259.753	73698.511	73422.033	74117.522	76563.52	82340.688	92329.803	98333.631	97722.011	96079.151	94207.521	91860.337	89694.722	88274.572	86707.769	85308.469	84700.687	84827.004	86113.737	89595.488	91693.765	88414.09	82496.332	76510.72
3/17/2015	RTO	72072.669	69656.963	68574.808	68464.502	70229.952	75379.65	85093.65	91123.851	91522.527	91108.863	90408.473	89677.528	88885.988	87959.836	86543.947	85479.206	85105.696	85170.177	86162.995	90677.333	94700.242	92671.701	87827.366	82955.323
3/18/2015	RTO	79884.194	78419.421	77818.114	78568.195	81006.395	87299.136	97912.484	103892.794	102968.992	100276.696	98186.163	96325.562	94394.455	92479.676	90692.356	89092.566	88493.596	89019.349	90599.586	95337.084	98603.289	96166.306	91104.455	85501.396
3/19/2015	RTO	81832.741	80008.965	79286.383	79509.595	81556.875	87436.907	97268.894	102879.34	101644.831	99763.959	98078.288	96175.716	94134.033	92321.449	90585.635	89448.879	89437.038	90535.748	92094.814	96198.835	98844.776	96022.37	90656.15	85109.918
3/20/2015	RTO	80961.986	78753.977	77688.144	77506.813	79426.717	84416.456	93468.945	99913.329	100954.995	101363.375	101725.104	101152.496	100214.518	99161.12	97685.622	96624.71	96218.205	96110.11	95868.233	97346.667	98061.473	95348.247	90775.636	85555.142
3/21/2015	RTO	81434.598	78756.727	77365.477	76781.607	77231.633	79135.208	82784.739	86372.492	89214.005	90371.507	89759.233	87881.643	84971.297	81975.837	79906.358	78059.644	77226.446	77275.113	78033.464	81223.933	84129.721	82955.201	79798.713	76099.454
3/22/2015	RTO	72746.87	70748.69	69924.989	69961.198	70625.785	72414.141	75632.488	78804.594	81618.624	83241.416	83202.2	82082.393	80901.588	79471.514	77992.584	77193.325	77291.708	78771.9	80899.034	86523.266	90794.957	89032.906	85122.477	81002.036
3/23/2015	RTO	77889.885	76688.782	76553.684	77380.938	80209.428	86396.403	96972.314	102685.509	102531.59	101165.43	99846.554	98140.121	96040.184	94305.234	92409.791	91127.799	90986.748	91983.681	93717.647	98030.764	100887.607	98014.931	92798.255	87007.266
3/24/2015	RTO	83135.688	81103.446	80299.912	80436.849	82474.921	88333.962	98050.661	103338.652	103055.348	101712.709	100428.389	98547.043	96787.284	94906.2	93239.459	91265.281	90570.363	90571.622	91796.228	95993.691	99524.047	97079.816	91601.123	86262.648
